© 2000-2024 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
mir-1205	microRNA	4.28E-02	DNAJB1	 
DYNLT3	other	4.28E-02	BCL2	 
N,N'-dinitrosopiperazine	chemical toxicant	4.28E-02	HSPA1A/HSPA1B	 
Cdk9 inhibitor II	chemical reagent	4.28E-02	DDIT3	 
IFI6	other	4.28E-02	BCL2L11	 
DNAJB2	other	4.28E-02	ATXN3	 
TOM1L1	other	4.28E-02	TP53	 
KRT19P3	other	4.28E-02	COPS7A	 
TPI1	enzyme	4.28E-02	DDIT3	 
LINC00570	other	4.28E-02	ROCK2	 
SPRR2B	other	4.28E-02	TP53	 
ZNF263	transcription regulator	4.28E-02	ARHGEF2	 
CNOT8	transcription regulator	4.28E-02	TP53	 
STXBP2	transporter	4.28E-02	STX11	 
forchlorfenuron	chemical reagent	4.28E-02	SNAP25	 
DNAJC5	other	4.28E-02	SNAP25	 
tenovin-6	chemical reagent	4.28E-02	TP53	 
STXBP3	transporter	4.28E-02	HSPA5	 
GRB14	other	4.28E-02	IRS1	 
SPAG5	peptidase	4.28E-02	TP53	 
GNG14	other	4.28E-02	PRKN	 
KDELR1	transporter	4.28E-02	HSPA5	 
GLCCI1	other	4.28E-02	BCL2L11	 
CAB39	enzyme	4.28E-02	PRKN	 
B3GAT2	enzyme	4.28E-02	B3GAT1	 
TCAM1P	other	4.28E-02	DDIT3	 
MAP7	other	4.28E-02	TRPV4	 
INTS6	enzyme	4.28E-02	PRKN	 
CEP350	other	4.28E-02	PRKN	 
RIT1	enzyme	4.28E-02	BCL2	 
WT1-AS	other	4.28E-02	TP53	 
SLC6A6	transporter	4.28E-02	ATF4	 
PDS5A	other	4.28E-02	PRKN	 
RPS25	other	4.28E-02	TP53	 
birinapant	biologic drug	4.28E-02	TP53	 
DAPK2	kinase	4.28E-02	TP53	 
PHA-767491	chemical drug	4.28E-02	DDIT3	 
CAMLG	other	4.28E-02	GET1	 
AZD-3965	chemical drug	4.28E-02	LGALS9	 
dulanermin	biologic drug	4.28E-02	BAX	 
TPD52	other	4.28E-02	BCL2	 
RPS27	other	4.28E-02	TP53	 
Zfp871	other	4.28E-02	TP53	 
RPS27L	translation regulator	4.28E-02	TP53	 
FAM13A	other	4.28E-02	IRS1	 
COL10A1	other	4.28E-02	HSPA5	 
PACRG	other	4.28E-02	PRKN	 
UBAP2L	other	4.28E-02	PRKN	 
SYT7	transporter	4.28E-02	DDIT3	 
CASC19	other	4.28E-02	FKBP5	 
MEAF6	enzyme	4.28E-02	PRKN	 
GMEB2	transcription regulator	4.28E-02	ADRM1	 
CENPE	other	4.28E-02	TP53	 
GTSE1	other	4.28E-02	TP53	 
dihydrotanshinone I	chemical reagent	4.28E-02	TNFRSF10B	 
ursodeoxycholate-lysophosphatidylethanolamide	chemical reagent	4.28E-02	MAPK8	 
protein kinase C inhibitor	chemical drug	4.28E-02	LGALS9	 
RPL7A	other	4.28E-02	TP53	 
HAFML	other	4.28E-02	APPL2	 
LINC02932	other	4.28E-02	HSPA1A/HSPA1B	 
JV-1-63 hGHRH(1-29)NH2	chemical reagent	4.28E-02	TP53	 
RO-5045337	chemical drug	4.28E-02	TP53	 
MKC-3946	chemical reagent	4.28E-02	XBP1	 
astragalus saponin	chemical reagent	4.28E-02	XBP1	 
5-fluorouracil/thymidine	chemical drug	4.28E-02	TP53	 
2-ethylestrone-3-O-sulfamate	chemical reagent	4.28E-02	TP53	 
RO0281675	chemical reagent	4.28E-02	BAX	 
phenylpropanoic acid	chemical - endogenous mammalian	4.28E-02	ATP2A3	 
carnitine	chemical - endogenous mammalian	4.28E-02	CAPN1	 
2-aminofluorene	chemical toxicant	4.28E-02	TP53	 
melarsoprol	chemical drug	4.28E-02	BCL2	 
ABT 702	chemical drug	4.28E-02	TP53	 
DDIT4-AS1	other	4.28E-02	MTOR	 
AN-238	chemical toxicant	4.28E-02	TP53	 
PF-06821497	chemical drug	4.28E-02	BCL2L11	 
lasofoxifene	chemical drug	4.28E-02	TP53	 
hydroxyacetylaminofluorene	chemical toxicant	4.28E-02	TP53	 
fluoranthene	chemical toxicant	4.28E-02	TP53	 
adozelesin	chemical drug	4.28E-02	TP53	 
isobutyric acid	chemical - endogenous non-mammalian	4.28E-02	ATP2A3	 
NE 100	chemical reagent	4.28E-02	HSPA5	 
anti-miR-185-5p	chemical reagent	4.28E-02	DDIT3	 
DEK-NUP214	fusion gene/product	4.28E-02	MTOR	 
AuNP@PEG@e14a2	chemical reagent	4.28E-02	BCL2	 
STAT3 inhibitor IX	chemical reagent	4.28E-02	HAS2	 
MID-1	chemical reagent	4.28E-02	IRS1	 
LDC067	chemical drug	4.28E-02	DDIT3	 
Kira8	chemical drug	4.28E-02	DDIT3	 
tilimycin	chemical - endogenous non-mammalian	4.28E-02	TP53	 
WRG-28	chemical reagent	4.28E-02	AXL	 
Gm17251	other	4.28E-02	RAB11B	 
(E)-2-(2-quinolin-2-yl-vinyl)-benzene-1,4-diol	chemical reagent	4.28E-02	CAPN2	 
TFMB-(R)-2-HG	chemical reagent	4.28E-02	TP53	 
ATSP-7041	chemical reagent	4.28E-02	TP53	 
miR-216b inhibitor	chemical reagent	4.28E-02	GALNT1	 
oxanthroquinone G01	chemical reagent	4.28E-02	EIF2AK3	 
NRP2-PLXNA1 (complex)	complex	4.28E-02	TP53	 
ETC-642	chemical reagent	4.28E-02	HMGCR	 
metal ion	chemical - other	4.28E-02	TP53	 
ISA-2011B	chemical drug	4.28E-02	TP53	 
isovaleric acid	chemical - endogenous mammalian	4.28E-02	ATP2A3	 
RAD6 (family)	group	4.28E-02	TP53	 
6alpha-fluorotestosterone	chemical toxicant	4.28E-02	BCL2	 
Fe3+	chemical - endogenous mammalian	4.28E-02	HMGCR	 
GNE-495	chemical drug	4.31E-02	BAX,BCL2	 
fingolimod phosphate	chemical - endogenous mammalian	4.31E-02	ERN1,HAS2	 
AC1Q3QWB	chemical reagent	4.31E-02	BCL2,UBXN1	 
GMB-475	biologic drug	4.31E-02	BCL2,MTOR	 
MLYCD	enzyme	4.31E-02	ATF4,DDIT3	 
GPAT3	enzyme	4.31E-02	DGAT1,DGAT2	 
SLC39A14	transporter	4.31E-02	ATF4,DDIT3	 
TRIM45	enzyme	4.31E-02	ATG5,BECN1	 
VIRMA	other	4.31E-02	CHST11,HAS2	 
NRAD1	other	4.31E-02	BAX,BCL2	 
MCL1	transporter	4.31E-02	BAK1,BAX	 
nimbolide	chemical - endogenous non-mammalian	4.31E-02	BCL2,IGF1R	 
TTN	kinase	4.31E-02	ATP2A2,CRYAB	 
CXCR1	G-protein coupled receptor	4.31E-02	BAX,BCL2	 
miR-570-3p (miRNAs w/seed GAAAACA)	mature microRNA	4.31E-02	HSP90AA1,HSPA1A/HSPA1B	 
miR-320b (and other miRNAs w/seed AAAGCUG)	mature microRNA	4.31E-02	ATF4,CANX	 
ASS1	enzyme	4.31E-02	AXL,BAX	 
CUL1	enzyme	4.31E-02	IRS1,TP53	 
MAD2L1	other	4.31E-02	BAX,BCL2	 
FBXO2	enzyme	4.31E-02	FBXO2,SKP1	 
LINC01612	other	4.31E-02	BCL2,TP53	 
Gstt1	enzyme	4.31E-02	CHST7,DDOST	 
SLC19A1	transporter	4.31E-02	PSMB8,SKP1	 
coumestrol	chemical toxicant	4.31E-02	HSP90AB1,HSP90B1	 
diacerein	chemical drug	4.31E-02	BAX,BCL2	 
dihematoporphyrin ether	chemical drug	4.31E-02	HSP90B1,TP53	 
FOS	transcription regulator	4.45E-02	AP3D1,ARF1,ARPC5,ASAP1,B4GALT1,BCL2,BCL2L11,CAPN2,EEA1,GIT2,HAS1,HAS2,HSP90B1,HSPA5,HSPB8,LARGE1,MGAT4A,MYO5B,NET1,NPLOC4,PSMA2,PSMA7,PSMB3,RAB11FIP1,RAB31,RFNG,SEC23B,SNAP23,ST8SIA5,STX11,TP53,TRAPPC3,UGCG,VAMP7,XYLT1	 
TFEC	transcription regulator	4.54E-02	ATP2A1,IGF1R,PSMA6	 
mir-378 (includes others)	microRNA	4.54E-02	BAX,BCL2,FOXO1	 
beta-elemene	chemical - endogenous non-mammalian	4.54E-02	BCL2,IGF1R,TP53	 
phencyclidine	chemical drug	4.54E-02	BAX,BCL2,RAB29	 
PLX5622	chemical drug	4.54E-02	AKT1,ARF5,ATF4,BAX,CYTH4,HEXB,HSP90AB1,HSPA5,NSF,PGRMC1,PSMB9,RAB3A,RAB3C,SELENOF,STX1A,STX2,TRPV1,VAMP1	 
RUNX1-RUNX1T1	fusion gene/product	4.61E-02	AGAP1,CALM1 (includes others),CHST11,ERN1,FOXO1,HS6ST1,IGF1R,TP53,XBP1,XYLT1	 
B2M	transmembrane receptor	4.63E-02	AKT1,IGF1R,MTOR,TAPBP	 
7-ketocholesterol	chemical - endogenous mammalian	4.63E-02	BAX,DDIT3,HSPA5,TP53	 
NDRG1	kinase	4.64E-02	AKT1,BCL2,BCL2L11,EIF2AK3,MTOR,PML,TP53	 
fulvestrant	chemical drug	4.68E-02	ABL1,AP1G1,ARAF,ATF4,AXL,BAK1,BAX,BCL2,FKBP1A,IGF1R,IRS1,NCOA3,RAB2A,RNF126,ROCK2,SIAH2,TP53,USP19,XBP1	 
mir-8 (includes others)	microRNA	4.68E-02	ABL2,AKT1,ARHGAP5,ATG5,BAX,BCL2,CUL3,DNAJC3,HSPA9,PKD1,ROCK2,SEC23A,TP53,UBE2D1,XBP1	 
MYOCD	transcription regulator	4.82E-02	ATF4,ATP2A2,CASQ2,DDIT3,EIF2A,EIF2AK3,TP53,XBP1	 
carbon monoxide	chemical - endogenous mammalian	4.88E-02	ATF4,BAX,BCL2,DDIT3,PRKN,XBP1	 
nickel chloride	chemical toxicant	4.88E-02	ATF4,CRYAB,DNAJA4,ERO1A,HSPB8,SRPRB	 
SLC40A1	transporter	4.92E-02	ATF4,BAK1,BAX,BCL2L11,HSPB1,P4HB,PPIF,RACK1,STX2,TOR1A,XBP1	 
fenretinide	chemical drug	4.92E-02	ATF4,BAK1,BCL2,DDIT3,GOSR2,MAPK8,TNFRSF10B	 
RUVBL1	transcription regulator	4.95E-02	POMK,PSMA7,PSMB7,PSMC4,PSMD12	 
